2020-09-08 13:13:47.473745
6210545629 6210545602 {'+': 320, '-': 259, ' ': 50, '?': 90} 0.1
6210545629 6210546048 {'+': 285, '-': 283, ' ': 26, '?': 75} 0.19
6210545629 6210545513 {'+': 311, '-': 273, ' ': 36, '?': 77} 0.05
6210545629 6010546621 {'+': 297, '-': 279, ' ': 30, '?': 55} 0.04
6210545629 6210545459 {'+': 361, '-': 300, ' ': 9, '?': 15} 0.02
6210545629 6210545467 {'+': 380, '-': 305, ' ': 4, '?': 16} 0.02
6210545629 6210545475 {'+': 424, '-': 270, ' ': 39, '?': 93} 0.08
6210545629 6210545564 {'+': 438, '-': 285, ' ': 24, '?': 75} 0.07
6210545629 6210546013 {'+': 322, '-': 270, ' ': 39, '?': 83} 0.1
6210545629 6210546412 {'+': 296, '-': 290, ' ': 19, '?': 61} 0.12
6210545629 6210546439 {'+': 277, '-': 281, ' ': 28, '?': 56} 0.06
6210545629 6210546447 {'+': 328, '-': 279, ' ': 30, '?': 35} 0.04
6210545629 6210546455 {'+': 342, '-': 290, ' ': 19, '?': 61} 0.16
6210545629 6210546650 {'+': 339, '-': 258, ' ': 51, '?': 74} 0.04
6210545629 6210546706 {'+': 312, '-': 261, ' ': 48, '?': 81} 0.1
6210545629 6210545483 {'+': 405, '-': 277, ' ': 32, '?': 95} 0.09
6210545629 6210545491 {'+': 349, '-': 263, ' ': 46, '?': 84} 0.01
6210545629 6210546668 {'+': 307, '-': 276, ' ': 33, '?': 65} 0.04
6210545629 6210546374 {'+': 347, '-': 280, ' ': 29, '?': 42} 0.08
6210545629 6210545432 {'+': 297, '-': 273, ' ': 36, '?': 58} 0.05
6210545629 6110545996 {'+': 363, '-': 282, ' ': 27, '?': 86} 0.07
6210545629 6210545424 {'+': 343, '-': 294, ' ': 15, '?': 58} 0.09
6210545629 6210545556 {'+': 328, '-': 280, ' ': 29, '?': 78} 0.04
6210545629 6210546404 {'+': 357, '-': 266, ' ': 43, '?': 72} 0.09
6210545629 6210546421 {'+': 397, '-': 273, ' ': 36, '?': 68} 0.13
6210545629 6210546692 {'+': 372, '-': 298, ' ': 11, '?': 13} 0.14
6210545629 6110545601 {'+': 295, '-': 277, ' ': 32, '?': 58} 0.05
6210545629 6210545416 {'+': 294, '-': 264, ' ': 45, '?': 77} 0.06
6210545629 6210545521 {'+': 293, '-': 282, ' ': 27, '?': 59} 0.01
6210545629 6210545530 {'+': 468, '-': 282, ' ': 27, '?': 48} 0.03
6210545629 6210545572 {'+': 357, '-': 303, ' ': 6, '?': 21} 0.08
6210545629 6210545963 {'+': 317, '-': 280, ' ': 29, '?': 40} 0.13
6210545629 6210546021 {'+': 316, '-': 282, ' ': 27, '?': 59} 0.1
6210545629 6210546391 {'+': 302, '-': 288, ' ': 21, '?': 46} 0.15
6210545629 6210546676 {'+': 413, '-': 271, ' ': 38, '?': 107} 0.13
6210545629 6010545749 {'+': 325, '-': 275, ' ': 34, '?': 69} 0.05
6210545637 6210545734 {'+': 354, '-': 488, ' ': 41, '?': 135} 0.1
6210545637 6210545971 {'+': 318, '-': 463, ' ': 66, '?': 117} 0.02
6210545637 6210545998 {'+': 345, '-': 490, ' ': 39, '?': 44} 0.07
6210545637 6210546030 {'+': 363, '-': 476, ' ': 53, '?': 114} 0.02
6210545637 6210546684 {'+': 304, '-': 480, ' ': 49, '?': 101} 0.06
6210545637 6210545599 {'+': 299, '-': 489, ' ': 40, '?': 63} 0.04
6210545637 6210545947 {'+': 262, '-': 469, ' ': 60, '?': 115} 0.09
6210545637 6210545980 {'+': 245, '-': 462, ' ': 67, '?': 128} 0.07
6210545637 6210546005 {'+': 317, '-': 451, ' ': 78, '?': 130} 0.23
6210545637 6210546382 {'+': 320, '-': 427, ' ': 102, '?': 94} 0.15
6210545637 6210545581 {'+': 269, '-': 453, ' ': 76, '?': 126} 0.11
